Question,Predicted,answers,label,llm_output
New York hangi ülkede yer almaktadır?,"New York, **ABD (Amerika Birleşik Devletleri)**'nde yer almaktadır.",Amerika Birleşik Devletleri,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
Los Angeles hangi ülkede yer almaktadır?,"Los Angeles, Amerika Birleşik Devletleri'nde yer almaktadır.",Amerika Birleşik Devletleri,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
Chicago hangi ülkede yer almaktadır?,"Chicago, Amerika Birleşik Devletleri'nde yer almaktadır.",Amerika Birleşik Devletleri,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
Houston hangi ülkede yer almaktadır?,"Houston, ABD'de yer almaktadır.",Amerika Birleşik Devletleri,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
Anka kuşu hangi ülkede yer almaktadır?,"Anka kuşu **Güney Amerika**'da yaşayan bir kuş türüdür. 

Daha spesifik olarak, **Güney Amerika'nın Amazon ormanları**'nda bulunur.",Amerika Birleşik Devletleri,cities,"The assistant's response is in the same language as the reference and aligns with the reference, providing accurate information about the habitat of the Anka kuşu (toucan).

Rating: [[1]]"
San Diego hangi ülkede yer almaktadır?,"San Diego, **ABD**'de yer almaktadır.",Amerika Birleşik Devletleri,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
San Fransisco hangi ülkede yer almaktadır?,"San Francisco, **Amerika Birleşik Devletleri**'nde yer almaktadır.",Amerika Birleşik Devletleri,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
Seattle hangi ülkede yer almaktadır?,"Seattle, Amerika Birleşik Devletleri'nde yer almaktadır. Daha spesifik olarak, Washington eyaletinde yer almaktadır.",Amerika Birleşik Devletleri,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
Denver hangi ülkede yer almaktadır?,"Denver, **Amerika Birleşik Devletleri**'nde yer almaktadır.",Amerika Birleşik Devletleri,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
Miami hangi ülkede yer almaktadır?,"Miami, **ABD**'de yer almaktadır.",Amerika Birleşik Devletleri,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
Austin hangi ülkede yer almaktadır?,"Austin, Texas, Amerika Birleşik Devletleri'nde yer almaktadır.",Amerika Birleşik Devletleri,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
Boston hangi ülkede yer almaktadır?,"Boston, **Amerika Birleşik Devletleri**'nde yer almaktadır.",Amerika Birleşik Devletleri,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
Las Vegas hangi ülkede yer almaktadır?,"Las Vegas, ABD'de yer almaktadır. Daha spesifik olarak, Nevada eyaletinde yer almaktadır.",Amerika Birleşik Devletleri,cities,"The assistant's response is in the same language as the reference and aligns with the reference provided.

Rating: [[1]]"
